feature,importance
GenHlth,0.18183610624687552
BMI,0.1541733047292671
HighBP,0.14651544827612129
Age,0.11793663558035045
HighChol,0.07387533859737902
Income,0.055970147845745784
PhysHlth,0.04983167798218027
MentHlth,0.040255985467499304
DiffWalk,0.03519649992300288
Education,0.03473463437526359
Race,0.031782831261377986
HeartDiseaseorAttack,0.022289538555827895
Sex,0.018537629061996286
NoDocbcCost,0.010630391538426353
Stroke,0.009219230054154
CholCheck,0.009016855849229947
AnyHealthcare,0.008197744655302378
